Experiment	LibraryLayout	Platform	Run	R1	R2
SRX23707948	PAIRED	ILLUMINA	SRR28058339		
SRX23707947	PAIRED	ILLUMINA	SRR28058340		
SRX23707946	PAIRED	ILLUMINA	SRR28058341		
SRX23707945	PAIRED	ILLUMINA	SRR28058342		
SRX23707944	PAIRED	ILLUMINA	SRR28058343		
SRX23707943	PAIRED	ILLUMINA	SRR28058344		
SRX23707942	PAIRED	ILLUMINA	SRR28058345		
SRX23707941	PAIRED	ILLUMINA	SRR28058346		
SRX23707940	PAIRED	ILLUMINA	SRR28058347		
SRX23707939	PAIRED	ILLUMINA	SRR28058348		
SRX23707938	PAIRED	ILLUMINA	SRR28058349		
SRX23707937	PAIRED	ILLUMINA	SRR28058350		
SRX23707936	PAIRED	ILLUMINA	SRR28058351		
SRX23707935	PAIRED	ILLUMINA	SRR28058352		
SRX17530166	PAIRED	ILLUMINA	SRR21527778		
SRX17530165	PAIRED	ILLUMINA	SRR21527779		
SRX17530164	PAIRED	ILLUMINA	SRR21527780		
SRX17530163	PAIRED	ILLUMINA	SRR21527781		
SRX17530162	PAIRED	ILLUMINA	SRR21527782		
SRX17530161	PAIRED	ILLUMINA	SRR21527783		
SRX17530160	PAIRED	ILLUMINA	SRR21527784		
SRX17530159	PAIRED	ILLUMINA	SRR21527785		
SRX17530158	PAIRED	ILLUMINA	SRR21527786		
SRX17530157	PAIRED	ILLUMINA	SRR21527787		
SRX17530156	PAIRED	ILLUMINA	SRR21527788		
SRX17530155	PAIRED	ILLUMINA	SRR21527789		
SRX17530154	PAIRED	ILLUMINA	SRR21527790		
SRX17530153	PAIRED	ILLUMINA	SRR21527791		
SRX17530152	PAIRED	ILLUMINA	SRR21527792		
SRX17530151	PAIRED	ILLUMINA	SRR21527793		
SRX17530150	PAIRED	ILLUMINA	SRR21527794		
SRX17530149	PAIRED	ILLUMINA	SRR21527795		
SRX17530148	PAIRED	ILLUMINA	SRR21527796		
SRX17530147	PAIRED	ILLUMINA	SRR21527797		
SRX17530146	PAIRED	ILLUMINA	SRR21527798		
SRX17530145	PAIRED	ILLUMINA	SRR21527799		
SRX17530144	PAIRED	ILLUMINA	SRR21527800		
SRX17530143	PAIRED	ILLUMINA	SRR21527801		
SRX17530142	PAIRED	ILLUMINA	SRR21527802		
SRX17530139	PAIRED	ILLUMINA	SRR21527805		
SRX17530141	PAIRED	ILLUMINA	SRR21527803		
SRX17530140	PAIRED	ILLUMINA	SRR21527804		
SRX17530138	PAIRED	ILLUMINA	SRR21527806		
SRX17530137	PAIRED	ILLUMINA	SRR21527807		
SRX24294700	PAIRED	ILLUMINA	SRR28728594		
SRX24294699	PAIRED	ILLUMINA	SRR28728595		
SRX17737874	SINGLE	ILLUMINA	SRR21742286		
SRX17737873	SINGLE	ILLUMINA	SRR21742287		
SRX17737872	SINGLE	ILLUMINA	SRR21742288		
SRX17737871	SINGLE	ILLUMINA	SRR21742289		
ERX6008381	PAIRED	ILLUMINA	ERR6379265		
SRX8894553	PAIRED	ILLUMINA	SRR12396325		
SRX8894554	PAIRED	ILLUMINA	SRR12396326		
SRX8894555	PAIRED	ILLUMINA	SRR12396327		
SRX8894556	PAIRED	ILLUMINA	SRR12396328		
SRX8894557	PAIRED	ILLUMINA	SRR12396329		
SRX8894558	PAIRED	ILLUMINA	SRR12396330		
SRX8894559	PAIRED	ILLUMINA	SRR12396331		
SRX8894560	PAIRED	ILLUMINA	SRR12396332		
SRX8894563	PAIRED	ILLUMINA	SRR12396335		
SRX8894564	PAIRED	ILLUMINA	SRR12396336		
SRX8894565	PAIRED	ILLUMINA	SRR12396337		
SRX8894566	PAIRED	ILLUMINA	SRR12396338		
SRX8894567	PAIRED	ILLUMINA	SRR12396339		
SRX8894568	PAIRED	ILLUMINA	SRR12396340		
SRX7195902	PAIRED	ILLUMINA	SRR10506959		
SRX7195901	PAIRED	ILLUMINA	SRR10506960		
SRX7195900	PAIRED	ILLUMINA	SRR10506961		
SRX7195899	PAIRED	ILLUMINA	SRR10506962		
SRX7195898	PAIRED	ILLUMINA	SRR10506963		
SRX7195897	PAIRED	ILLUMINA	SRR10506964		
SRX7584792	PAIRED	ILLUMINA	SRR10917452		
SRX7584791	PAIRED	ILLUMINA	SRR10917453		
SRX7584790	PAIRED	ILLUMINA	SRR10917454		
SRX7584789	PAIRED	ILLUMINA	SRR10917455		
SRX7584788	PAIRED	ILLUMINA	SRR10917456		
SRX7584787	PAIRED	ILLUMINA	SRR10917457		
SRX7584786	PAIRED	ILLUMINA	SRR10917458		
SRX7584785	PAIRED	ILLUMINA	SRR10917459		
SRX7584784	PAIRED	ILLUMINA	SRR10917460		
SRX7584782	PAIRED	ILLUMINA	SRR10917461		
SRX7584781	PAIRED	ILLUMINA	SRR10917462		
SRX7584780	PAIRED	ILLUMINA	SRR10917463		
SRX7584783	PAIRED	ILLUMINA	SRR10917464		
SRX7584779	PAIRED	ILLUMINA	SRR10917465		
SRX7584778	PAIRED	ILLUMINA	SRR10917466		
SRX7584777	PAIRED	ILLUMINA	SRR10917467		
SRX7584776	PAIRED	ILLUMINA	SRR10917468		
SRX7584774	PAIRED	ILLUMINA	SRR10917469		
SRX7584773	PAIRED	ILLUMINA	SRR10917470		
SRX7584772	PAIRED	ILLUMINA	SRR10917471		
SRX7584775	PAIRED	ILLUMINA	SRR10917472		
SRX7584771	PAIRED	ILLUMINA	SRR10917473		
SRX7584770	PAIRED	ILLUMINA	SRR10917474		
SRX7584769	PAIRED	ILLUMINA	SRR10917475		
SRX7584768	PAIRED	ILLUMINA	SRR10917476		
SRX7584767	PAIRED	ILLUMINA	SRR10917477		
SRX7584766	PAIRED	ILLUMINA	SRR10917478		
SRX7584765	PAIRED	ILLUMINA	SRR10917479		
SRX7747536	SINGLE	ILLUMINA	SRR11109956		
SRX7747535	SINGLE	ILLUMINA	SRR11109957		
SRX7747534	SINGLE	ILLUMINA	SRR11109958		
SRX7747533	SINGLE	ILLUMINA	SRR11109959		
SRX7747532	SINGLE	ILLUMINA	SRR11109960		
SRX7747531	SINGLE	ILLUMINA	SRR11109961		
SRX4552613	SINGLE	ILLUMINA	SRR7693534		
SRX4552613	SINGLE	ILLUMINA	SRR7693535		
SRX4552614	SINGLE	ILLUMINA	SRR7693536		
SRX4552614	SINGLE	ILLUMINA	SRR7693537		
SRX4552615	SINGLE	ILLUMINA	SRR7693538		
SRX4552615	SINGLE	ILLUMINA	SRR7693539		
SRX4552616	SINGLE	ILLUMINA	SRR7693540		
SRX4552616	SINGLE	ILLUMINA	SRR7693541		
SRX4552617	SINGLE	ILLUMINA	SRR7693542		
SRX4552617	SINGLE	ILLUMINA	SRR7693543		
SRX4552618	SINGLE	ILLUMINA	SRR7693544		
SRX4552618	SINGLE	ILLUMINA	SRR7693545		
SRX4552619	SINGLE	ILLUMINA	SRR7693546		
SRX4552619	SINGLE	ILLUMINA	SRR7693547		
SRX4552620	SINGLE	ILLUMINA	SRR7693548		
SRX4552620	SINGLE	ILLUMINA	SRR7693549		
SRX4552621	SINGLE	ILLUMINA	SRR7693550		
SRX4552621	SINGLE	ILLUMINA	SRR7693551		
SRX4552622	SINGLE	ILLUMINA	SRR7693552		
SRX4552622	SINGLE	ILLUMINA	SRR7693553		
SRX4552623	SINGLE	ILLUMINA	SRR7693554		
SRX4552623	SINGLE	ILLUMINA	SRR7693555		
SRX4552624	SINGLE	ILLUMINA	SRR7693556		
SRX4552624	SINGLE	ILLUMINA	SRR7693557		
SRX4277499	PAIRED	ILLUMINA	SRR7405880		
SRX4277498	PAIRED	ILLUMINA	SRR7405881		
SRX4277497	PAIRED	ILLUMINA	SRR7405882		
SRX4277496	PAIRED	ILLUMINA	SRR7405883		
SRX4277495	PAIRED	ILLUMINA	SRR7405884		
SRX4277494	PAIRED	ILLUMINA	SRR7405885		
SRX4277493	PAIRED	ILLUMINA	SRR7405886		
SRX4277492	PAIRED	ILLUMINA	SRR7405887		
SRX4364709	PAIRED	ILLUMINA	SRR7495268		
SRX4364710	PAIRED	ILLUMINA	SRR7495269		
SRX4364711	PAIRED	ILLUMINA	SRR7495270		
SRX4364712	PAIRED	ILLUMINA	SRR7495271		
SRX4364713	PAIRED	ILLUMINA	SRR7495272		
SRX4364714	PAIRED	ILLUMINA	SRR7495273		
SRX393077	PAIRED	ILLUMINA	SRR1051303		
SRX393123	PAIRED	ILLUMINA	SRR1051304		
SRX5704140	PAIRED	ILLUMINA	SRR8922838		
SRX5704141	PAIRED	ILLUMINA	SRR8922839		
SRX5704142	PAIRED	ILLUMINA	SRR8922840		
SRX5704143	PAIRED	ILLUMINA	SRR8922841		
SRX5704144	PAIRED	ILLUMINA	SRR8922842		
SRX5704145	PAIRED	ILLUMINA	SRR8922843		
SRX5704146	PAIRED	ILLUMINA	SRR8922844		
SRX5704147	PAIRED	ILLUMINA	SRR8922845		
SRX5704148	PAIRED	ILLUMINA	SRR8922846		
SRX5704149	PAIRED	ILLUMINA	SRR8922847		
SRX5704150	PAIRED	ILLUMINA	SRR8922848		
SRX5704151	PAIRED	ILLUMINA	SRR8922849		
SRX5704152	PAIRED	ILLUMINA	SRR8922850		
SRX5704153	PAIRED	ILLUMINA	SRR8922851		
SRX5704154	PAIRED	ILLUMINA	SRR8922852		
SRX5704155	PAIRED	ILLUMINA	SRR8922853		
SRX5704156	PAIRED	ILLUMINA	SRR8922854		
SRX5704157	PAIRED	ILLUMINA	SRR8922855		
SRX5704158	PAIRED	ILLUMINA	SRR8922856		
SRX5704159	PAIRED	ILLUMINA	SRR8922857		
SRX5704160	PAIRED	ILLUMINA	SRR8922858		
SRX5704161	PAIRED	ILLUMINA	SRR8922859		
SRX5704162	PAIRED	ILLUMINA	SRR8922860		
SRX5704163	PAIRED	ILLUMINA	SRR8922861		
SRX5704164	PAIRED	ILLUMINA	SRR8922862		
SRX5704165	PAIRED	ILLUMINA	SRR8922863		
SRX5704166	PAIRED	ILLUMINA	SRR8922864		
SRX5704167	PAIRED	ILLUMINA	SRR8922865		
SRX5704168	PAIRED	ILLUMINA	SRR8922866		
SRX5704169	PAIRED	ILLUMINA	SRR8922867		
SRX5704170	PAIRED	ILLUMINA	SRR8922868		
SRX5704171	PAIRED	ILLUMINA	SRR8922869		
SRX5704172	PAIRED	ILLUMINA	SRR8922870		
SRX5704173	PAIRED	ILLUMINA	SRR8922871		
SRX5704174	PAIRED	ILLUMINA	SRR8922872		
SRX5704175	PAIRED	ILLUMINA	SRR8922873		
SRX2012748	SINGLE	ILLUMINA	SRR4019222		
SRX2012749	SINGLE	ILLUMINA	SRR4019223		
SRX2012750	SINGLE	ILLUMINA	SRR4019224		
SRX2012751	SINGLE	ILLUMINA	SRR4019225		
SRX2012752	SINGLE	ILLUMINA	SRR4019226		
SRX2012753	SINGLE	ILLUMINA	SRR4019227		
SRX2012754	SINGLE	ILLUMINA	SRR4019228		
SRX2012755	SINGLE	ILLUMINA	SRR4019229		
SRX2012756	SINGLE	ILLUMINA	SRR4019230		
SRX2012757	SINGLE	ILLUMINA	SRR4019231		
SRX2012758	SINGLE	ILLUMINA	SRR4019232		
SRX2012759	SINGLE	ILLUMINA	SRR4019233		
SRX2012760	SINGLE	ILLUMINA	SRR4019234		
SRX2012761	SINGLE	ILLUMINA	SRR4019235		
SRX2012762	SINGLE	ILLUMINA	SRR4019236		
SRX2012763	SINGLE	ILLUMINA	SRR4019237		
SRX2012764	SINGLE	ILLUMINA	SRR4019238		
SRX2012765	SINGLE	ILLUMINA	SRR4019239		
SRX2012766	SINGLE	ILLUMINA	SRR4019240		
SRX2012767	SINGLE	ILLUMINA	SRR4019241		
